Manufacturer ,Arxo
Name ,T.A 60.000L 20_20_20 2549 COMP B
Volume (L),20340
Diameter,2.549
Level (cm) ,Volume (L) 
1,8.62
2,24.20
3,44.24
4,67.86
5,94.54
6,123.95
7,155.83
8,189.99
9,226.27
10,264.59
11,304.83
12,346.91
13,390.72
14,436.20
15,483.26
16,531.84
17,581.89
18,633.36
19,686.18
20,740.33
21,795.74
22,852.38
23,910.20
24,969.13
25,1029.16
26,1090.25
27,1152.38
28,1215.50
29,1279.61
30,1344.67
31,1410.66
32,1477.56
33,1545.35
34,1614.00
35,1683.50
36,1753.83
37,1824.97
38,1896.89
39,1969.59
40,2043.05
41,2117.25
42,2192.17
43,2267.80
44,2344.12
45,2421.13
46,2498.80
47,2577.12
48,2656.08
49,2735.67
50,2815.87
51,2896.67
52,2978.06
53,3060.03
54,3142.57
55,3225.67
56,3309.33
57,3393.54
58,3478.29
59,3563.56
60,3649.35
61,3735.65
62,3822.45
63,3909.73
64,3997.49
65,4085.71
66,4174.40
67,4263.52
68,4353.09
69,4443.09
70,4533.50
71,4624.33
72,4715.56
73,4807.18
74,4899.18
75,4991.56
76,5084.31
77,5177.41
78,5270.87
79,5364.66
80,5458.80
81,5553.25
82,5648.03
83,5743.12
84,5838.51
85,5934.19
86,6030.16
87,6126.41
88,6222.93
89,6319.72
90,6416.76
91,6514.06
92,6611.59
93,6709.37
94,6807.37
95,6905.59
96,7004.02
97,7102.66
98,7201.51
99,7300.54
100,7399.76
101,7499.16
102,7598.74
103,7698.48
104,7798.37
105,7898.42
106,7998.62
107,8098.95
108,8199.42
109,8300.01
110,8400.72
111,8501.54
112,8602.47
113,8703.50
114,8804.62
115,8905.83
116,9007.11
117,9108.47
118,9209.90
119,9311.39
120,9412.93
121,9514.52
122,9616.15
123,9717.81
124,9819.51
125,9921.22
126,10022.95
127,10124.69
128,10226.44
129,10328.18
130,10429.90
131,10531.62
132,10633.31
133,10734.97
134,10836.60
135,10938.18
136,11039.72
137,11141.20
138,11242.62
139,11343.97
140,11445.25
141,11546.45
142,11647.56
143,11748.58
144,11849.50
145,11950.31
146,12051.01
147,12151.59
148,12252.04
149,12352.36
150,12452.54
151,12552.58
152,12652.46
153,12752.18
154,12851.74
155,12951.12
156,13050.32
157,13149.34
158,13248.16
159,13346.78
160,13445.20
161,13543.40
162,13641.38
163,13739.12
164,13836.64
165,13933.91
166,14030.92
167,14127.69
168,14224.18
169,14320.40
170,14416.35
171,14512.00
172,14607.36
173,14702.41
174,14797.16
175,14891.59
176,14985.68
177,15079.45
178,15172.87
179,15265.94
180,15358.65
181,15450.99
182,15542.96
183,15634.54
184,15725.73
185,15816.51
186,15906.89
187,15996.84
188,16086.36
189,16175.45
190,16264.08
191,16352.26
192,16439.97
193,16527.21
194,16613.95
195,16700.20
196,16785.94
197,16871.17
198,16955.86
199,17040.01
200,17123.62
201,17206.66
202,17289.15
203,17371.06
204,17452.39
205,17533.13
206,17613.27
207,17692.80
208,17771.69
209,17849.95
210,17927.56
211,18004.49
212,18080.75
213,18156.31
214,18231.16
215,18305.28
216,18378.66
217,18451.29
218,18523.14
219,18594.19
220,18664.44
221,18733.85
222,18802.42
223,18870.12
224,18936.93
225,19002.83
226,19067.80
227,19131.81
228,19194.84
229,19256.86
230,19317.84
231,19377.76
232,19436.59
233,19494.29
234,19550.81
235,19606.10
236,19660.11
237,19712.80
238,19764.13
239,19814.04
240,19862.47
241,19909.38
242,19954.69
243,19998.33
244,20040.23
245,20080.29
246,20118.40
247,20154.48
248,20188.41
249,20220.06
250,20249.21
251,20275.61
252,20298.89
253,20318.53
254,20333.59
255,20340.95
