Manufacturer ,Arxo
Name ,T.A 30.000L 15_15  2549 COMP B
Volume (L),15248
Diameter,2.549
Level (cm) ,Volume (L) 
1,6.21
2,17.67
3,32.57
4,50.23
5,70.27
6,92.41
7,116.46
8,142.26
9,169.68
10,198.59
11,228.91
12,260.56
13,293.47
14,327.58
15,362.85
16,399.23
17,436.67
18,475.14
19,514.60
20,555.01
21,596.35
22,638.59
23,681.72
24,725.70
25,770.53
26,816.17
27,862.61
28,909.82
29,957.79
30,1006.49
31,1055.91
32,1106.03
33,1156.83
34,1208.29
35,1260.41
36,1313.17
37,1366.55
38,1420.53
39,1475.12
40,1530.28
41,1586.01
42,1642.31
43,1699.14
44,1756.52
45,1814.41
46,1872.82
47,1931.73
48,1991.13
49,2051.02
50,2111.37
51,2172.19
52,2233.46
53,2295.17
54,2357.32
55,2419.88
56,2482.86
57,2546.24
58,2610.01
59,2674.16
60,2738.69
61,2803.58
62,2868.84
63,2934.45
64,3000.40
65,3066.70
66,3133.32
67,3200.28
68,3267.54
69,3335.12
70,3403.01
71,3471.19
72,3539.67
73,3608.43
74,3677.46
75,3746.77
76,3816.35
77,3886.19
78,3956.28
79,4026.62
80,4097.20
81,4168.02
82,4239.07
83,4310.35
84,4381.85
85,4453.55
86,4525.47
87,4597.59
88,4669.91
89,4742.42
90,4815.12
91,4888.00
92,4961.05
93,5034.28
94,5107.67
95,5181.22
96,5254.93
97,5328.79
98,5402.79
99,5476.93
100,5551.21
101,5625.62
102,5700.15
103,5774.80
104,5849.57
105,5924.45
106,5999.44
107,6074.52
108,6149.70
109,6224.98
110,6300.34
111,6375.78
112,6451.29
113,6526.88
114,6602.54
115,6678.26
116,6754.04
117,6829.87
118,6905.75
119,6981.67
120,7057.63
121,7133.63
122,7209.65
123,7285.71
124,7361.78
125,7437.87
126,7513.97
127,7590.07
128,7666.18
129,7742.29
130,7818.39
131,7894.47
132,7970.54
133,8046.59
134,8122.62
135,8198.61
136,8274.57
137,8350.49
138,8426.36
139,8502.19
140,8577.96
141,8653.67
142,8729.32
143,8804.91
144,8880.42
145,8955.85
146,9031.20
147,9106.46
148,9181.63
149,9256.71
150,9331.68
151,9406.55
152,9481.31
153,9555.95
154,9630.47
155,9704.87
156,9779.13
157,9853.26
158,9927.25
159,10001.09
160,10074.78
161,10148.32
162,10221.70
163,10294.90
164,10367.94
165,10440.80
166,10513.48
167,10585.97
168,10658.27
169,10730.37
170,10802.27
171,10873.96
172,10945.43
173,11016.68
174,11087.71
175,11158.51
176,11229.07
177,11299.38
178,11369.45
179,11439.26
180,11508.81
181,11578.10
182,11647.11
183,11715.84
184,11784.28
185,11852.44
186,11920.29
187,11987.84
188,12055.08
189,12122.00
190,12188.59
191,12254.85
192,12320.77
193,12386.35
194,12451.57
195,12516.43
196,12580.92
197,12645.03
198,12708.76
199,12772.10
200,12835.03
201,12897.56
202,12959.66
203,13021.33
204,13082.56
205,13143.33
206,13203.64
207,13263.47
208,13322.83
209,13381.69
210,13440.04
211,13497.89
212,13555.21
213,13611.99
214,13668.23
215,13723.91
216,13779.01
217,13833.54
218,13887.46
219,13940.78
220,13993.47
221,14045.53
222,14096.93
223,14147.66
224,14197.71
225,14247.05
226,14295.68
227,14343.57
228,14390.71
229,14437.07
230,14482.63
231,14527.38
232,14571.28
233,14614.31
234,14656.47
235,14697.72
236,14738.03
237,14777.39
238,14815.76
239,14853.10
240,14889.37
241,14924.52
242,14958.52
243,14991.31
244,15022.83
245,15053.01
246,15081.78
247,15109.04
248,15134.67
249,15158.54
250,15180.48
251,15200.29
252,15217.70
253,15232.29
254,15243.34
255,15248.64
