Manufacturer ,Arxo
Name ,T.A 20.000L10_10  2549 COMP A
Volume (L),10145
Diameter,2.549
Level (cm) ,Volume (L) 
1,4.09
2,11.67
3,21.55
4,33.28
5,46.61
6,61.35
7,77.36
8,94.55
9,112.81
10,132.07
11,152.26
12,173.33
13,195.23
14,217.93
15,241.39
16,265.59
17,290.49
18,316.06
19,342.29
20,369.16
21,396.63
22,424.71
23,453.37
24,482.61
25,512.41
26,542.76
27,573.64
28,605.03
29,636.93
30,669.33
31,702.20
32,735.54
33,769.33
34,803.58
35,838.26
36,873.36
37,908.88
38,944.81
39,981.14
40,1017.86
41,1054.95
42,1092.42
43,1130.26
44,1168.45
45,1207.00
46,1245.88
47,1285.11
48,1324.66
49,1364.53
50,1404.72
51,1445.22
52,1486.02
53,1527.12
54,1568.50
55,1610.16
56,1652.10
57,1694.30
58,1736.76
59,1779.48
60,1822.44
61,1865.65
62,1909.09
63,1952.77
64,1996.68
65,2040.81
66,2085.16
67,2129.72
68,2174.50
69,2219.48
70,2264.66
71,2310.04
72,2355.61
73,2401.37
74,2447.32
75,2493.44
76,2539.74
77,2586.22
78,2632.86
79,2679.66
80,2726.63
81,2773.75
82,2821.03
83,2868.45
84,2916.02
85,2963.73
86,3011.58
87,3059.56
88,3107.67
89,3155.91
90,3204.28
91,3252.76
92,3301.36
93,3350.07
94,3398.89
95,3447.82
96,3496.85
97,3545.98
98,3595.21
99,3644.53
100,3693.94
101,3743.43
102,3793.01
103,3842.67
104,3892.40
105,3942.21
106,3992.08
107,4042.02
108,4092.03
109,4142.10
110,4192.22
111,4242.40
112,4292.62
113,4342.90
114,4393.22
115,4443.58
116,4493.98
117,4544.41
118,4594.88
119,4645.38
120,4695.90
121,4746.44
122,4797.01
123,4847.59
124,4898.18
125,4948.79
126,4999.40
127,5050.02
128,5100.64
129,5151.26
130,5201.87
131,5252.47
132,5303.07
133,5353.65
134,5404.21
135,5454.75
136,5505.27
137,5555.76
138,5606.23
139,5656.66
140,5707.05
141,5757.41
142,5807.73
143,5858.00
144,5908.22
145,5958.39
146,6008.51
147,6058.57
148,6108.57
149,6158.51
150,6208.37
151,6258.17
152,6307.90
153,6357.55
154,6407.12
155,6456.60
156,6506.00
157,6555.31
158,6604.53
159,6653.65
160,6702.67
161,6751.59
162,6800.40
163,6849.10
164,6897.69
165,6946.16
166,6994.51
167,7042.74
168,7090.84
169,7138.81
170,7186.65
171,7234.34
172,7281.90
173,7329.31
174,7376.57
175,7423.67
176,7470.62
177,7517.41
178,7564.04
179,7610.49
180,7656.78
181,7702.88
182,7748.81
183,7794.55
184,7840.10
185,7885.46
186,7930.62
187,7975.59
188,8020.34
189,8064.88
190,8109.21
191,8153.32
192,8197.20
193,8240.86
194,8284.28
195,8327.46
196,8370.40
197,8413.09
198,8455.53
199,8497.70
200,8539.61
201,8581.25
202,8622.60
203,8663.67
204,8704.44
205,8744.91
206,8785.07
207,8824.91
208,8864.43
209,8903.62
210,8942.47
211,8980.98
212,9019.14
213,9056.94
214,9094.37
215,9131.43
216,9168.11
217,9204.40
218,9240.28
219,9275.76
220,9310.83
221,9345.46
222,9379.66
223,9413.41
224,9446.71
225,9479.53
226,9511.88
227,9543.73
228,9575.07
229,9605.90
230,9636.19
231,9665.94
232,9695.12
233,9723.72
234,9751.74
235,9779.15
236,9805.95
237,9832.12
238,9857.63
239,9882.46
240,9906.58
241,9929.97
242,9952.59
243,9974.41
244,9995.39
245,10015.49
246,10034.66
247,10052.82
248,10069.89
249,10085.78
250,10100.39
251,10113.56
252,10125.13
253,10134.80
254,10142.11
255,10145.60
