Manufacturer ,Arxo
Name ,T.A 30.000L 10_20  2549 COMP A
Volume (L),10273
Diameter,2.549
Level (cm) ,Volume (L) 
1,4.14
2,11.82
3,21.82
4,33.7
5,47.2
6,62.12
7,78.34
8,95.74
9,114.24
10,133.74
11,154.18
12,175.51
13,197.69
14,220.67
15,244.43
16,268.93
17,294.14
18,320.04
19,346.6
20,373.8
21,401.63
22,430.06
23,459.08
24,488.69
25,518.86
26,549.59
27,580.86
28,612.65
29,644.95
30,677.75
31,711.04
32,744.8
33,779.02
34,813.7
35,848.81
36,884.36
37,920.32
38,956.7
39,993.49
40,1030.67
41,1068.23
42,1106.17
43,1144.48
44,1183.15
45,1222.18
46,1261.56
47,1301.27
48,1341.32
49,1381.69
50,1422.39
51,1463.39
52,1504.71
53,1546.32
54,1588.22
55,1630.41
56,1672.87
57,1715.6
58,1758.6
59,1801.85
60,1845.35
61,1889.1
62,1933.09
63,1977.31
64,2021.77
65,2066.46
66,2111.36
67,2156.49
68,2201.82
69,2247.37
70,2293.12
71,2339.07
72,2385.21
73,2431.55
74,2478.07
75,2524.77
76,2571.66
77,2618.71
78,2665.94
79,2713.34
80,2760.89
81,2808.61
82,2856.48
83,2904.5
84,2952.66
85,3000.97
86,3049.42
87,3098.01
88,3146.73
89,3195.58
90,3244.55
91,3293.64
92,3342.85
93,3392.18
94,3441.61
95,3491.16
96,3540.81
97,3590.55
98,3640.4
99,3690.34
100,3740.37
101,3790.49
102,3840.69
103,3890.97
104,3941.33
105,3991.76
106,4042.27
107,4092.84
108,4143.47
109,4194.17
110,4244.92
111,4295.73
112,4346.59
113,4397.5
114,4448.45
115,4499.45
116,4550.48
117,4601.55
118,4652.65
119,4703.78
120,4754.94
121,4806.12
122,4857.32
123,4908.54
124,4959.77
125,5011.02
126,5062.27
127,5113.52
128,5164.78
129,5216.03
130,5267.28
131,5318.52
132,5369.75
133,5420.97
134,5472.17
135,5523.35
136,5574.5
137,5625.63
138,5676.73
139,5727.8
140,5778.83
141,5829.82
142,5880.77
143,5931.67
144,5982.53
145,6033.33
146,6084.08
147,6134.77
148,6185.4
149,6235.96
150,6286.46
151,6336.88
152,6387.23
153,6437.51
154,6487.7
155,6537.81
156,6587.83
157,6637.76
158,6687.6
159,6737.34
160,6786.97
161,6836.51
162,6885.93
163,6935.25
164,6984.45
165,7033.53
166,7082.49
167,7131.32
168,7180.03
169,7228.6
170,7277.04
171,7325.33
172,7373.48
173,7421.49
174,7469.34
175,7517.04
176,7564.58
177,7611.96
178,7659.17
179,7706.21
180,7753.08
181,7799.76
182,7846.27
183,7892.58
184,7938.71
185,7984.64
186,8030.37
187,8075.89
188,8121.21
189,8166.31
190,8211.2
191,8255.86
192,8300.29
193,8344.5
194,8388.46
195,8432.19
196,8475.66
197,8518.89
198,8561.86
199,8604.56
200,8647
201,8689.15
202,8731.03
203,8772.61
204,8813.89
205,8854.87
206,8895.53
207,8935.87
208,8975.89
209,9015.57
210,9054.91
211,9093.9
212,9132.54
213,9170.81
214,9208.72
215,9246.24
216,9283.38
217,9320.12
218,9356.46
219,9392.39
220,9427.89
221,9462.97
222,9497.59
223,9531.77
224,9565.48
225,9598.72
226,9631.47
227,9663.72
228,9695.46
229,9726.68
230,9757.35
231,9787.47
232,9817.02
233,9845.99
234,9874.36
235,9902.12
236,9929.26
237,9955.75
238,9981.58
239,10006.73
240,10031.15
241,10054.84
242,10077.74
243,10099.84
244,10121.08
245,10141.43
246,10160.83
247,10179.23
248,10196.51
249,10212.6
250,10227.39
251,10240.73
252,10252.44
253,10262.24
254,10269.64
255,10273.17
