Manufacturer ,Arxo
Name ,T.A 60.000L 20_20_20 2549 COMP C
Volume (L),20387
Diameter,2.549
Level (cm) ,Volume (L) 
1,8.36
2,23.72
3,43.67
4,67.30
5,94.09
6,123.69
7,155.83
8,190.30
9,226.94
10,265.58
11,306.10
12,348.40
13,392.39
14,438.01
15,485.17
16,533.81
17,583.88
18,635.33
19,688.11
20,742.17
21,797.47
22,853.98
23,911.66
24,970.50
25,1030.46
26,1091.51
27,1153.61
28,1216.75
29,1280.89
30,1346.02
31,1412.10
32,1479.11
33,1547.03
34,1615.84
35,1685.52
36,1756.05
37,1827.41
38,1899.58
39,1972.55
40,2046.29
41,2120.79
42,2196.04
43,2272.01
44,2348.70
45,2426.08
46,2504.15
47,2582.88
48,2662.27
49,2742.31
50,2822.97
51,2904.25
52,2986.14
53,3068.61
54,3151.66
55,3235.27
56,3319.43
57,3404.14
58,3489.36
59,3575.10
60,3661.34
61,3748.08
62,3835.30
63,3923.00
64,4011.16
65,4099.77
66,4188.83
67,4278.32
68,4368.24
69,4458.58
70,4549.33
71,4640.47
72,4732.01
73,4823.93
74,4916.22
75,5008.88
76,5101.90
77,5195.26
78,5288.97
79,5383.01
80,5477.37
81,5572.06
82,5667.05
83,5762.34
84,5857.93
85,5953.81
86,6049.97
87,6146.39
88,6243.09
89,6340.04
90,6437.24
91,6534.68
92,6632.36
93,6730.27
94,6828.41
95,6926.75
96,7025.31
97,7124.07
98,7223.02
99,7322.16
100,7421.48
101,7520.98
102,7620.64
103,7720.47
104,7820.45
105,7920.57
106,8020.84
107,8121.25
108,8221.78
109,8322.44
110,8423.21
111,8524.09
112,8625.07
113,8726.15
114,8827.32
115,8928.58
116,9029.91
117,9131.32
118,9232.79
119,9334.31
120,9435.89
121,9537.52
122,9639.19
123,9740.89
124,9842.62
125,9944.37
126,10046.13
127,10147.91
128,10249.68
129,10351.46
130,10453.22
131,10554.97
132,10656.69
133,10758.39
134,10860.06
135,10961.68
136,11063.25
137,11164.78
138,11266.24
139,11367.64
140,11468.96
141,11570.21
142,11671.37
143,11772.44
144,11873.41
145,11974.29
146,12075.05
147,12175.69
148,12276.21
149,12376.60
150,12476.86
151,12576.97
152,12676.94
153,12776.74
154,12876.39
155,12975.87
156,13075.17
157,13174.30
158,13273.23
159,13371.97
160,13470.50
161,13568.83
162,13666.94
163,13764.83
164,13862.48
165,13959.90
166,14057.08
167,14154.01
168,14250.67
169,14347.07
170,14443.20
171,14539.05
172,14634.61
173,14729.87
174,14824.84
175,14919.49
176,15013.82
177,15107.83
178,15201.50
179,15294.83
180,15387.81
181,15480.44
182,15572.69
183,15664.57
184,15756.07
185,15847.18
186,15937.88
187,16028.18
188,16118.06
189,16207.51
190,16296.52
191,16385.09
192,16473.20
193,16560.85
194,16648.03
195,16734.71
196,16820.91
197,16906.60
198,16991.77
199,17076.42
200,17160.53
201,17244.08
202,17327.08
203,17409.49
204,17491.32
205,17572.53
206,17653.14
207,17733.11
208,17812.43
209,17891.10
210,17969.10
211,18046.42
212,18123.03
213,18198.93
214,18274.10
215,18348.53
216,18422.19
217,18495.08
218,18567.17
219,18638.45
220,18708.89
221,18778.49
222,18847.21
223,18915.05
224,18981.97
225,19047.95
226,19112.98
227,19177.02
228,19240.06
229,19302.06
230,19363.00
231,19422.85
232,19481.57
233,19539.14
234,19595.53
235,19650.71
236,19704.64
237,19757.28
238,19808.60
239,19858.53
240,19907.03
241,19954.04
242,19999.49
243,20043.32
244,20085.45
245,20125.78
246,20164.23
247,20200.66
248,20234.90
249,20266.80
250,20296.13
251,20322.62
252,20345.92
253,20365.45
254,20380.28
255,20387.41
