Manufacturer ,Arxo
Name ,T.A 20.000L10_10  2549 COMP B
Volume (L),10175
Diameter,2.549
Level (cm) ,Volume (L) 
1,4.25
2,11.96
3,21.91
4,33.66
5,46.96
6,61.63
7,77.54
8,94.59
9,112.71
10,131.85
11,151.95
12,172.97
13,194.87
14,217.59
15,241.11
16,265.39
17,290.41
18,316.13
19,342.53
20,369.6
21,397.3
22,425.62
23,454.52
24,483.98
25,513.99
26,544.53
27,575.59
28,607.16
29,639.21
30,671.74
31,704.73
32,738.18
33,772.08
34,806.41
35,841.16
36,876.32
37,911.89
38,947.86
39,984.21
40,1020.94
41,1058.05
42,1095.51
43,1133.33
44,1171.5
45,1210.01
46,1248.85
47,1288.01
48,1327.5
49,1367.3
50,1407.41
51,1447.81
52,1488.52
53,1529.51
54,1570.79
55,1612.35
56,1654.18
57,1696.29
58,1738.68
59,1781.32
60,1824.23
61,1867.39
62,1910.79
63,1954.44
64,1998.33
65,2042.45
66,2086.8
67,2131.38
68,2176.17
69,2221.18
70,2266.4
71,2311.82
72,2357.45
73,2403.27
74,2449.28
75,2495.48
76,2541.87
77,2588.43
78,2635.17
79,2682.08
80,2729.16
81,2776.4
82,2823.8
83,2871.36
84,2919.07
85,2966.92
86,3014.92
87,3063.06
88,3111.33
89,3159.74
90,3208.27
91,3256.93
92,3305.71
93,3354.61
94,3403.63
95,3452.75
96,3501.98
97,3551.32
98,3600.75
99,3650.28
100,3699.91
101,3749.62
102,3799.42
103,3849.3
104,3899.27
105,3949.31
106,3999.42
107,4049.6
108,4099.85
109,4150.16
110,4200.53
111,4250.95
112,4301.43
113,4351.96
114,4402.53
115,4453.15
116,4503.81
117,4554.51
118,4605.23
119,4655.99
120,4706.78
121,4757.59
122,4808.42
123,4859.26
124,4910.12
125,4961
126,5011.88
127,5062.76
128,5113.65
129,5164.53
130,5215.41
131,5266.28
132,5317.14
133,5367.99
134,5418.82
135,5469.62
136,5520.41
137,5571.16
138,5621.89
139,5672.58
140,5723.23
141,5773.85
142,5824.42
143,5874.94
144,5925.41
145,5975.83
146,6026.2
147,6076.5
148,6126.74
149,6176.92
150,6227.02
151,6277.05
152,6327.01
153,6376.88
154,6426.68
155,6476.38
156,6526
157,6575.52
158,6624.94
159,6674.27
160,6723.49
161,6772.6
162,6821.6
163,6870.49
164,6919.26
165,6967.91
166,7016.43
167,7064.82
168,7113.09
169,7161.21
170,7209.19
171,7257.03
172,7304.73
173,7352.27
174,7399.65
175,7446.87
176,7493.94
177,7540.83
178,7587.55
179,7634.1
180,7680.47
181,7726.65
182,7772.64
183,7818.44
184,7864.05
185,7909.45
186,7954.65
187,7999.64
188,8044.41
189,8088.96
190,8133.29
191,8177.39
192,8221.25
193,8264.88
194,8308.26
195,8351.4
196,8394.28
197,8436.9
198,8479.25
199,8521.33
200,8563.14
201,8604.68
202,8645.93
203,8686.89
204,8727.56
205,8767.94
206,8808.01
207,8847.78
208,8887.24
209,8926.37
210,8965.18
211,9003.65
212,9041.79
213,9079.57
214,9117
215,9154.07
216,9190.76
217,9227.08
218,9263
219,9298.53
220,9333.66
221,9368.37
222,9402.65
223,9436.5
224,9469.91
225,9502.86
226,9535.34
227,9567.34
228,9598.86
229,9629.87
230,9660.35
231,9690.31
232,9719.72
233,9748.57
234,9776.82
235,9804.46
236,9831.45
237,9857.79
238,9883.45
239,9908.39
240,9932.6
241,9956.04
242,9978.68
243,10000.49
244,10021.41
245,10041.43
246,10060.47
247,10078.49
248,10095.42
249,10111.21
250,10125.8
251,10138.94
252,10150.52
253,10160.26
254,10167.7
255,10171.32
