Manufacturer ,Arxo
Name ,T.A 30.000L 10_20  2549 COMP B
Volume (L),20250
Diameter,2.549
Level (cm) ,Volume (L) 
1,8.44
2,23.82
3,43.68
4,67.14
5,93.69
6,122.98
7,154.76
8,188.82
9,225.02
10,263.22
11,303.34
12,345.25
13,388.89
14,434.16
15,481
16,529.34
17,579.13
18,630.31
19,682.84
20,736.66
21,791.74
22,848.04
23,905.5
24,964.09
25,1023.78
26,1084.53
27,1146.32
28,1209.12
29,1272.9
30,1337.64
31,1403.31
32,1469.9
33,1537.38
34,1605.72
35,1674.92
36,1744.94
37,1815.78
38,1887.41
39,1959.82
40,2032.98
41,2106.89
42,2181.53
43,2256.88
44,2332.92
45,2409.65
46,2487.05
47,2565.1
48,2643.79
49,2723.11
50,2803.05
51,2883.58
52,2964.71
53,3046.42
54,3128.7
55,3211.54
56,3294.93
57,3378.86
58,3463.33
59,3548.31
60,3633.81
61,3719.8
62,3806.29
63,3893.26
64,3980.69
65,4068.59
66,4156.93
67,4245.72
68,4334.94
69,4424.58
70,4514.64
71,4605.1
72,4695.96
73,4787.2
74,4878.82
75,4970.82
76,5063.17
77,5155.88
78,5248.94
79,5342.33
80,5436.05
81,5530.09
82,5624.45
83,5719.11
84,5814.07
85,5909.33
86,6004.86
87,6100.67
88,6196.75
89,6293.09
90,6389.69
91,6486.53
92,6583.61
93,6680.92
94,6778.46
95,6876.21
96,6974.18
97,7072.35
98,7170.72
99,7269.27
100,7368.02
101,7466.93
102,7566.02
103,7665.28
104,7764.68
105,7864.24
106,7963.94
107,8063.78
108,8163.75
109,8263.85
110,8364.06
111,8464.38
112,8564.8
113,8665.33
114,8765.94
115,8866.64
116,8967.42
117,9068.27
118,9169.19
119,9270.17
120,9371.2
121,9472.27
122,9573.39
123,9674.54
124,9775.72
125,9876.92
126,9978.14
127,10079.37
128,10180.6
129,10281.82
130,10383.04
131,10484.24
132,10585.41
133,10686.56
134,10787.68
135,10888.75
136,10989.77
137,11090.74
138,11191.65
139,11292.5
140,11393.27
141,11493.96
142,11594.57
143,11695.08
144,11795.5
145,11895.81
146,11996.01
147,12096.09
148,12196.04
149,12295.87
150,12395.56
151,12495.1
152,12594.5
153,12693.73
154,12792.8
155,12891.7
156,12990.43
157,13088.97
158,13187.32
159,13285.47
160,13383.41
161,13481.15
162,13578.66
163,13675.95
164,13773.01
165,13869.82
166,13966.39
167,14062.71
168,14158.76
169,14254.54
170,14350.05
171,14445.27
172,14540.21
173,14634.84
174,14729.16
175,14823.18
176,14916.87
177,15010.22
178,15103.24
179,15195.92
180,15288.24
181,15380.2
182,15471.78
183,15562.99
184,15653.8
185,15744.23
186,15834.24
187,15923.84
188,16013.02
189,16101.76
190,16190.06
191,16277.91
192,16365.3
193,16452.22
194,16538.66
195,16624.6
196,16710.05
197,16794.98
198,16879.39
199,16963.27
200,17046.61
201,17129.39
202,17211.61
203,17293.27
204,17374.34
205,17454.81
206,17534.69
207,17613.95
208,17692.57
209,17770.56
210,17847.89
211,17924.55
212,18000.53
213,18075.81
214,18150.37
215,18224.21
216,18297.3
217,18369.63
218,18441.18
219,18511.94
220,18581.88
221,18650.99
222,18719.25
223,18786.64
224,18853.13
225,18918.72
226,18983.36
227,19047.04
228,19109.74
229,19171.43
230,19232.07
231,19291.65
232,19350.14
233,19407.48
234,19463.66
235,19518.61
236,19572.32
237,19624.71
238,19675.76
239,19725.4
240,19773.59
241,19820.28
242,19865.39
243,19908.85
244,19950.58
245,19990.52
246,20028.53
247,20064.52
248,20098.36
249,20129.9
250,20158.98
251,20185.22
252,20208.35
253,20227.79
254,20242.63
255,20249.84
